Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Duration Person AV Bike [h],0.224044266,0.226234582,0.224290276,0.222535962,0.224606703,0.21791717,0.215267542,0.223605817,0.222504416,0.218122031,0.215412036,0.230033056,0.230753325,0.229650835,0.231463171,0.225400422,0.218027378,0.238253273,0.237233898,0.237164459,0.236445474,0.229957154,0.220096568,0.245363609,0.246976668,0.24569263,0.24555063,0.240760069,0.226296396,0.252997662,0.254515833,0.256043163,0.255284037,0.249317032,0.233628284,0.246233411,0.243062032,0.243963052,0.244337155,0.243584384,0.239674229,0.225938114,2182
Duration Person AV Car [h],0.092318374,0.092503966,0.092758195,0.092889102,0.093267972,0.093419825,0.095185988,0.09320117,0.093107593,0.093724923,0.095242089,0.092427682,0.092559166,0.093451156,0.093232455,0.093764208,0.095962598,0.092584369,0.092790095,0.093238977,0.093532882,0.0944214,0.096192342,0.092686022,0.092741372,0.093117715,0.093674443,0.09473413,0.096215728,0.09292822,0.092675599,0.093275507,0.093664164,0.0949776,0.096717234,0.093549696,0.093305273,0.093344411,0.093787865,0.094108495,0.095778144,0.097023884,2183
Duration Person AV Car Emergency [h],0.0828372,0.083301626,0.083297393,0.083347822,0.084035254,0.083852882,0.085099557,0.084011948,0.083767442,0.083910964,0.084981357,0.082955843,0.08327116,0.08403997,0.084135746,0.084280511,0.085655608,0.083339584,0.083179692,0.083497127,0.084044009,0.084547569,0.085608214,0.082606947,0.0831157,0.083440052,0.083523946,0.084491309,0.085098144,0.082171928,0.082064922,0.082931402,0.083055277,0.084180828,0.085077435,0.083364528,0.082993502,0.083110575,0.083738482,0.083961725,0.085289995,0.086050692,2184
Duration Person AV Car HOV2 Emergency [h],0.082543482,0.082816698,0.082635643,0.082695544,0.083096768,0.083025447,0.084335349,0.082745041,0.08343263,0.083027526,0.083353955,0.082745575,0.082869872,0.083226765,0.083792904,0.082862234,0.083658296,0.082915077,0.082224758,0.082839478,0.083552849,0.083482102,0.084483979,0.082422653,0.082397792,0.082145951,0.083024755,0.084004325,0.083742276,0.081769057,0.081809547,0.081720732,0.082487287,0.083368123,0.083981715,0.082988378,0.081835028,0.082267524,0.082832604,0.08223354,0.082805225,0.084186969,2185
Duration Person AV Car HOV3 Emergency [h],0.082517776,0.082152298,0.082388771,0.083031084,0.083212917,0.082683356,0.084114433,0.083599487,0.083271068,0.082338808,0.083118763,0.082695397,0.082638368,0.084268719,0.083723213,0.082750549,0.083462771,0.082407976,0.08278899,0.082624859,0.083654113,0.083775423,0.082752974,0.081907152,0.082024873,0.082094009,0.082743091,0.082445161,0.082901129,0.081354869,0.081693696,0.081887082,0.081283006,0.082738038,0.083303747,0.082180755,0.081669196,0.082571686,0.082615148,0.082710874,0.083084036,0.08262647,2186
Duration Person AV Ride Hail [h],0.117669035,0.116153577,0.120501239,0.120995438,0.122188042,0.124614296,0.128464764,0.120579595,0.120557176,0.121324504,0.125300986,0.120669571,0.124312634,0.125337889,0.12465164,0.125190499,0.128744653,0.12750542,0.130386973,0.131128819,0.130950345,0.13136022,0.133170913,0.139084728,0.141091761,0.140904413,0.140265412,0.141541996,0.143016284,0.146003615,0.149671862,0.14883168,0.149122673,0.150366139,0.151008343,0.112513824,0.113902975,0.119265755,0.119522628,0.119275651,0.119162402,0.115342599,2187
Duration Person AV Empty Ride Hail [h],0.040867019,0.039528872,0.04121179,0.04085554,0.041171714,0.034947205,0.041865497,0.03901781,0.038544239,0.043493672,0.04391118,0.039345282,0.042810322,0.041263546,0.040706092,0.040460772,0.032553812,0.043061975,0.043515316,0.040282794,0.039213351,0.042325099,0.030031673,0.04512963,0.044553889,0.043307667,0.042097816,0.052205914,0.029351636,0.048652705,0.046799979,0.050372091,0.053615248,0.063986486,0.027951381,0.044403292,0.046677116,0.047512024,0.048971554,0.049069176,0.058188478,0.040835697,2188
Duration Person AV Ride Hail WC [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189
Duration Person AV Empty Ride Hail WC [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190
Duration Person AV CAV [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191
Duration Person AV Car HOV2 [h],0.085781323,0.085673373,0.086060229,0.086149155,0.085998126,0.0860856,0.087086111,0.086301908,0.086132492,0.086383866,0.087253892,0.086013279,0.086118639,0.08665247,0.086379039,0.086377223,0.087559847,0.086101717,0.08648999,0.086618567,0.087013638,0.086990406,0.087816075,0.085876313,0.086350268,0.086360984,0.08666728,0.087326099,0.087837914,0.086066585,0.086076713,0.086170278,0.086401925,0.08733281,0.087985727,0.086424731,0.085874166,0.085999974,0.086258155,0.086444413,0.087545572,0.087769076,2192
Duration Person AV Car HOV3 [h],0.081903233,0.081713659,0.08214095,0.082075997,0.082443828,0.082117919,0.083394181,0.082441223,0.08272279,0.082378783,0.083504766,0.08185319,0.082383123,0.082879345,0.082624537,0.08243307,0.083574756,0.082257614,0.082253999,0.082754517,0.082485811,0.082790568,0.083454489,0.081818088,0.082044477,0.082601195,0.082518292,0.083275909,0.083218428,0.081817702,0.081429023,0.081723748,0.082321313,0.082899879,0.083632102,0.082293385,0.08160193,0.082169643,0.081838157,0.082458057,0.083067802,0.083375772,2193
Duration Person AV Bus [h],0.02206708,0.021988436,0.022036321,0.022041217,0.022082551,0.022061065,0.02205981,0.022072332,0.022054919,0.02207003,0.022070907,0.022063683,0.022030052,0.022033764,0.022048577,0.021998885,0.022060522,0.022069166,0.022069629,0.022070964,0.022045747,0.022037033,0.022050441,0.022134964,0.022066589,0.022055753,0.022095536,0.022088734,0.022051026,0.022160573,0.022177973,0.022138445,0.022132865,0.022096241,0.022096787,0.022169261,0.022197609,0.022159214,0.02214641,0.022162211,0.022090768,0.022145494,2194
Duration Person AV Tram [h],0.034494492,0.034452097,0.034487976,0.034469182,0.034484104,0.034406095,0.034379487,0.034476822,0.034449044,0.034470077,0.03452413,0.034548064,0.034708487,0.034514964,0.034445904,0.03452073,0.034438808,0.034613935,0.034700896,0.034645119,0.034558098,0.034586621,0.034460521,0.03471174,0.034705131,0.034636384,0.034672486,0.034607227,0.03451876,0.034822363,0.034752894,0.034799204,0.034833182,0.034760315,0.034567131,0.034709264,0.034766694,0.034687131,0.034679496,0.034742226,0.034721662,0.034607825,2195
Duration Person AV Rail [h],0.106576749,0.104808345,0.106710444,0.105231516,0.107485898,0.106605061,0.106358841,0.10691899,0.106063068,0.107486194,0.105924444,0.105004259,0.104687114,0.104432403,0.104725271,0.105468949,0.105014974,0.104698509,0.104379112,0.104141303,0.104500745,0.10444417,0.104642921,0.103318316,0.104135535,0.103390633,0.102471995,0.102434681,0.104020353,0.102570454,0.104035654,0.102855475,0.102475208,0.102316903,0.103036488,0.104003461,0.103510578,0.102566506,0.103756999,0.10387769,0.103658894,0.102626384,2196
Duration Person AV Subway [h],0.051929945,0.051849115,0.051957652,0.051866818,0.051777046,0.05186752,0.051670822,0.051791998,0.051910915,0.051717085,0.051731648,0.052072754,0.052045686,0.052062285,0.052006609,0.051822435,0.051751313,0.052262072,0.052251589,0.052195203,0.052179066,0.051944852,0.051872474,0.052555385,0.052590326,0.05248411,0.052499453,0.052443834,0.052089137,0.052852869,0.052774411,0.052879757,0.052773126,0.052647042,0.052472569,0.052823676,0.052746265,0.052794209,0.052779743,0.052805419,0.052784544,0.052381703,2197
Duration Person AV Cable Car [h],0.014208637,0.014277843,0.014235909,0.014258312,0.014142389,0.014183089,0.014228695,0.01423471,0.014237265,0.014323389,0.014292061,0.014242728,0.01424923,0.014217123,0.014253616,0.014232584,0.014199043,0.014220015,0.014213067,0.014322663,0.01422439,0.014277759,0.014225948,0.014245324,0.014309246,0.014210134,0.014170226,0.014200443,0.01421559,0.014199943,0.014151689,0.014234178,0.014265123,0.014241441,0.014195454,0.014259329,0.014166018,0.014201404,0.014219993,0.014270882,0.014166105,0.014228691,2198
Duration Person AV Ferry [h],0.893518519,0.888418079,0.965986395,0.893229167,0.872093023,0.881410256,0.828947368,0.941091954,0.906779661,0.818333333,0.865248227,0.861111111,0.925925926,0.909482759,0.901639344,0.961904762,0.920940171,0.889492754,0.889423077,0.867346939,0.893382353,0.929824561,0.901315789,0.938271605,0.896892655,0.88172043,0.936666667,0.896226415,0.916666667,0.947740113,0.962820513,0.941025641,0.882051282,0.890432099,0.87755102,0.95531401,0.944029851,0.942857143,0.921111111,0.9375,0.951058201,0.886217949,2199
Duration Person AV Empty Bus [h],0.007326389,0.007222222,0.000887346,0.011311728,0.006906566,0.004421296,0.007009804,0.008425926,0,0.003809524,0.007847222,0.001558642,0.000700483,0.004987923,0.007477778,0.013125,0.015968013,0.008386243,0.012346336,0.022037037,0.018474946,0.011705426,0,0.013812057,0.001375661,0.006592593,0.00875,0.002620773,0.004965278,0.005621693,0.001830065,0.003764368,0.003376736,0.008932749,0.009722222,0.001886574,0.011648148,0.006697531,0.005902778,0.023172043,0.003151042,0.009659722,2200
Duration Person AV Empty Tram [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201
Duration Person AV Empty Rail [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2202
Duration Person AV Empty Subway [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203
Duration Person AV Empty Cable Car [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204
Duration Person AV Empty Ferry [h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205
Duration Person AV SF [h],0.021156597,0.021146859,0.021185749,0.021162083,0.021171437,0.021159538,0.021198013,0.021220269,0.021202193,0.021199886,0.021208356,0.02117669,0.02117357,0.021127737,0.021155387,0.021122251,0.021109874,0.02114982,0.021139299,0.021132508,0.021166305,0.021134513,0.021144851,0.021123264,0.021115802,0.021091839,0.021109051,0.02116071,0.021107672,0.021145018,0.021174065,0.02108941,0.021147979,0.021080011,0.021109192,0.021159979,0.02116628,0.021134765,0.021101663,0.02112483,0.021138204,0.021165267,2206
Duration Person AV AC [h],0.018040125,0.018040216,0.018079021,0.018061813,0.018049349,0.01806079,0.018047789,0.018041846,0.018063844,0.018036989,0.01805886,0.018010209,0.017982786,0.018024814,0.018026729,0.017986849,0.018022563,0.018027782,0.017980117,0.018005396,0.018009549,0.018013358,0.018015809,0.01803313,0.017999085,0.017970541,0.018019221,0.018033101,0.017999121,0.017994001,0.018064252,0.018012488,0.018028123,0.018030311,0.018001322,0.018028901,0.01807696,0.018016226,0.018016132,0.018029332,0.018005372,0.018054206,2207
Duration Person AV SC [h],0.021463394,0.02128868,0.021514911,0.021399863,0.021791908,0.021491689,0.021604258,0.021479601,0.021113223,0.021415831,0.021677036,0.021443737,0.021570852,0.021534268,0.021806763,0.02124553,0.021440223,0.021515544,0.021579936,0.021474973,0.021412182,0.021466493,0.021560403,0.021616508,0.021492837,0.021312804,0.021370968,0.021334186,0.021352113,0.021654382,0.021403601,0.021558266,0.021615385,0.021576504,0.021431065,0.021453709,0.021494038,0.021697389,0.021641206,0.021588335,0.02169628,0.021741855,2208
Duration Person AV VT [h],0.031207856,0.031071398,0.031050548,0.031077135,0.031116541,0.031045875,0.031102124,0.03107969,0.030984128,0.031059325,0.031086094,0.031064525,0.030968901,0.030963358,0.031018779,0.030999925,0.031142843,0.030968857,0.030974606,0.031013831,0.03099481,0.030996884,0.031055446,0.031020347,0.030963475,0.031006704,0.031089348,0.03093065,0.03102729,0.031021221,0.031023894,0.031088262,0.031045222,0.030998239,0.031010853,0.031074624,0.031056027,0.031026462,0.031063213,0.031071365,0.031030773,0.031118726,2209
Duration Person AV ST [h],0.022686919,0.022606445,0.022638017,0.022596112,0.022584285,0.022708815,0.022619165,0.022589871,0.022635625,0.022688184,0.022625774,0.022620374,0.022586198,0.022618571,0.022581595,0.022675407,0.022668159,0.022621925,0.022571291,0.022611184,0.022599604,0.022629767,0.022682814,0.022589445,0.022614972,0.022607487,0.022592964,0.02262196,0.022640197,0.022600399,0.022578688,0.022611131,0.022612208,0.022604201,0.022623427,0.022646724,0.0226364,0.022582839,0.022622369,0.02260201,0.022552417,0.022595641,2210
Duration Person AV CT [h],0.020142066,0.020078728,0.020338072,0.020176125,0.020301889,0.020311998,0.020368334,0.020241954,0.020290553,0.020363218,0.020410355,0.020136854,0.020429455,0.020239142,0.020289771,0.0203602,0.020527764,0.020317996,0.020199735,0.020419409,0.020222229,0.020422542,0.020458569,0.020326075,0.020238498,0.020296118,0.020287568,0.020262391,0.020283768,0.020445804,0.020311958,0.020205604,0.020425181,0.020282853,0.020204437,0.020256314,0.020441048,0.020300594,0.020317594,0.020229305,0.020071,0.020347733,2211
Duration Person AV CC [h],0.020779689,0.020805272,0.0207,0.020878072,0.020920659,0.020800706,0.020933459,0.020668404,0.020809828,0.020894037,0.020868678,0.020808511,0.020723153,0.020895887,0.020918535,0.020783124,0.020832655,0.020861377,0.020925209,0.02096773,0.020903955,0.020872502,0.020763527,0.020952948,0.020921419,0.020897421,0.020989836,0.020987754,0.020935917,0.020975375,0.020910129,0.020945683,0.020990181,0.020870791,0.021072103,0.020996732,0.021025453,0.020969444,0.020944273,0.021054456,0.020879059,0.020799228,2212
Duration Person AV GG [h],0.03478502,0.034247237,0.034430034,0.034514232,0.034582613,0.034295098,0.034482342,0.034637016,0.034725819,0.034221407,0.0343149,0.034534733,0.034562472,0.034409674,0.034436229,0.034277144,0.034095703,0.034764868,0.034419539,0.034773899,0.034482647,0.034266215,0.034341937,0.034935593,0.034659047,0.034879507,0.034857459,0.034886733,0.034773386,0.035455729,0.035415283,0.035336539,0.035112899,0.035354088,0.035018462,0.035259275,0.035650595,0.035717776,0.035505778,0.035801298,0.035247643,0.035133899,2213
Duration Person AV TD [h],0.024002589,0.023954474,0.023887357,0.024011581,0.024017793,0.024124631,0.023869998,0.024099775,0.023959155,0.023997827,0.024277243,0.024157737,0.023935314,0.023915691,0.024287154,0.024056805,0.023968076,0.024273357,0.024104203,0.023991194,0.024033292,0.024033939,0.023910642,0.024205929,0.024118973,0.0241234,0.024226841,0.024204786,0.023967684,0.023904528,0.024279529,0.024088253,0.024071356,0.023972182,0.024284153,0.023961732,0.024341142,0.023954765,0.024187633,0.024154873,0.024057592,0.023974631,2214
Duration Person AV 3D [h],0.024724162,0.02434666,0.024525051,0.024823925,0.02469424,0.024573268,0.024687956,0.02468706,0.024594,0.024726395,0.024468325,0.02441921,0.024826252,0.024543071,0.024825415,0.02451692,0.024772864,0.024760433,0.024783039,0.024936462,0.024719905,0.024573655,0.024901981,0.024664965,0.024627232,0.024879493,0.025002693,0.024676977,0.024521236,0.025013921,0.025117679,0.02494666,0.025136345,0.024843165,0.024689991,0.025192339,0.02514225,0.025019942,0.025088395,0.025110293,0.024923938,0.024574545,2215
Duration Person AV MA [h],0.027194546,0.027446711,0.027249789,0.027120616,0.027326008,0.027514371,0.027183131,0.02748283,0.027131378,0.027538319,0.027436979,0.027312979,0.027489862,0.027389627,0.027320602,0.027237123,0.027758521,0.027658499,0.028057538,0.02754395,0.027459076,0.027811518,0.027642593,0.027537099,0.02792856,0.027868653,0.027816524,0.027380916,0.027443336,0.02813055,0.027887774,0.027923218,0.027756054,0.027762984,0.027654236,0.027921179,0.027855598,0.027851575,0.027911692,0.027710625,0.027771879,0.027606772,2216
Duration Person AV BA [h],0.051929945,0.051849115,0.051957652,0.051866818,0.051777046,0.05186752,0.051670822,0.051791998,0.051910915,0.051717085,0.051731648,0.052072754,0.052045686,0.052062285,0.052006609,0.051822435,0.051751313,0.052262072,0.052251589,0.052195203,0.052179066,0.051944852,0.051872474,0.052555385,0.052590326,0.05248411,0.052499453,0.052443834,0.052089137,0.052852869,0.052774411,0.052879757,0.052773126,0.052647042,0.052472569,0.052823676,0.052746265,0.052794209,0.052779743,0.052805419,0.052784544,0.052381703,2217
Duration Person AV SM [h],0.027309643,0.027000025,0.027080272,0.026906559,0.027109198,0.027424721,0.026938896,0.026885373,0.027519183,0.026970412,0.026810508,0.026504247,0.026920231,0.026976539,0.026857572,0.027228401,0.027285834,0.027596646,0.027101048,0.026758845,0.02678229,0.027374382,0.0271297,0.02667847,0.02653573,0.027134912,0.027182727,0.026372277,0.026651014,0.026793752,0.02718184,0.026984739,0.027166434,0.027128964,0.027246739,0.026862906,0.027283307,0.027384149,0.027447645,0.027102275,0.026812211,0.026686238,2218
Duration Person AV SO [h],0.018510324,0.01842279,0.018424567,0.018530432,0.018406002,0.018593477,0.018462663,0.01849911,0.018528363,0.018489157,0.018538533,0.018513073,0.018514503,0.018596373,0.018546333,0.018562626,0.018557499,0.018718454,0.018695059,0.018664895,0.018648733,0.018560899,0.018556143,0.018784878,0.018725726,0.018777615,0.018721931,0.018653417,0.018588552,0.018933148,0.018860993,0.018789985,0.018823547,0.01891799,0.018647395,0.018915504,0.018816819,0.018925341,0.018844843,0.018812765,0.018883363,0.018772046,2219
Duration Person AV SR [h],0.018797669,0.018711373,0.018794372,0.018625614,0.018804592,0.018707373,0.018699544,0.018799458,0.018581121,0.018767603,0.018769991,0.018757323,0.018768838,0.018721746,0.018695341,0.018741922,0.018891331,0.018713124,0.018740875,0.018835286,0.018864607,0.018730116,0.018709324,0.018690076,0.018773726,0.018701029,0.018782749,0.018647957,0.018732107,0.018806446,0.018790164,0.018872189,0.018755519,0.018723105,0.018777945,0.018725308,0.018809153,0.018713302,0.018705129,0.018739274,0.018736556,0.018751858,2220
Duration Person AV WH [h],0.024249932,0.02410757,0.024339697,0.023934905,0.024368112,0.024493878,0.02421372,0.024168424,0.024173089,0.024228693,0.024412526,0.024272189,0.024149892,0.024095866,0.024518954,0.024204994,0.024439245,0.024365385,0.024679261,0.024488426,0.024238348,0.024305825,0.024190685,0.024419029,0.02467605,0.024617561,0.02452069,0.024728315,0.024405161,0.024513218,0.024496112,0.024558295,0.024713027,0.024810745,0.024305313,0.024802841,0.02457055,0.024564102,0.024458499,0.024761424,0.024695401,0.024612878,2221
Duration Person AV we [h],0.039453696,0.039685265,0.039351703,0.039801616,0.039014147,0.040686358,0.040344101,0.04048235,0.040298546,0.039553023,0.03978161,0.039813435,0.039412147,0.039548058,0.038980119,0.040200034,0.040844813,0.039221524,0.038026474,0.038592602,0.039826256,0.039514328,0.040732306,0.039274042,0.038056993,0.038697739,0.039387302,0.038988383,0.039331018,0.038111273,0.039168434,0.03845603,0.037883947,0.039013788,0.039152093,0.039473549,0.038578831,0.039854724,0.039054589,0.038794446,0.039084973,0.039289497,2222
Duration Person AV VN [h],0.029837469,0.029234993,0.030023972,0.030039408,0.029670843,0.028928131,0.030229834,0.02863902,0.029849396,0.02886324,0.028520648,0.02993135,0.029459389,0.029019676,0.02993267,0.028454526,0.029457894,0.02925844,0.029612014,0.029836977,0.029939732,0.029856188,0.02936735,0.030464194,0.029949012,0.029681203,0.030116732,0.03022586,0.029591311,0.0315065,0.030499451,0.030821349,0.031082007,0.030732846,0.030420225,0.030972403,0.031264109,0.030717599,0.030155243,0.031268004,0.030345855,0.02989192,2223
Duration Person AV un [h],0.01624598,0.016110221,0.016198625,0.016189549,0.016277521,0.016271217,0.016329258,0.016259955,0.016297561,0.016425426,0.01623605,0.016299614,0.016521851,0.016297018,0.016332112,0.016390723,0.016429333,0.016179746,0.016227719,0.016409758,0.016350422,0.016125748,0.016216901,0.016226917,0.016276317,0.016387146,0.016283282,0.016382773,0.016161827,0.016171571,0.016396755,0.0162091,0.016331336,0.01635628,0.016326857,0.016365988,0.016155481,0.016326806,0.016091811,0.016381464,0.016276101,0.016305771,2224
